"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\User.js", "JavaScript", 36, 0, 0, 0, 5, 41
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\completedOrder.js", "JavaScript", 43, 0, 0, 0, 3, 46
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\populationScripts.js", "JavaScript", 97, 0, 0, 9, 14, 120
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\recommendation.js", "JavaScript", 239, 0, 0, 34, 50, 323
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\cartRoutes.js", "JavaScript", 95, 0, 0, 6, 26, 127
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\completedOrderRoutes.js", "JavaScript", 60, 0, 0, 3, 15, 78
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\customerRoutes.js", "JavaScript", 59, 0, 0, 2, 18, 79
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\orderRoutes.js", "JavaScript", 56, 0, 0, 2, 11, 69
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\productRoutes.js", "JavaScript", 92, 0, 0, 2, 15, 109
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\uploadRoutes.js", "JavaScript", 25, 0, 0, 0, 9, 34
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\userRoutes.js", "JavaScript", 148, 0, 0, 7, 25, 180
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\socketMain.js", "JavaScript", 0, 0, 0, 0, 1, 1
"Total", "-", 9, -3313, -12, -23, -166, -3505
