"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\LoginScreen.jsx", "JavaScript JSX", 0, 0, -102, 0, 0, 0, -2, -9, -113
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\ProductScreen.jsx", "JavaScript JSX", 0, 0, -113, 0, 0, 0, -3, -7, -123
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\ProductsScreen.jsx", "JavaScript JSX", 0, 0, -89, 0, 0, 0, 0, -7, -96
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\RegisterScreen.jsx", "JavaScript JSX", 0, 0, -94, 0, 0, 0, -1, -7, -102
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\RequestsScreen.jsx", "JavaScript JSX", 0, 0, -48, 0, 0, 0, -1, -4, -53
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\ServicesScreen.jsx", "JavaScript JSX", 0, 0, -62, 0, 0, 0, 0, -5, -67
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\YourOrdersScreen.jsx", "JavaScript JSX", 0, 0, -98, 0, 0, 0, 0, -5, -103
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\authenticateMiddleware\authMiddleware.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 8, 39
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\database.js", "JavaScript", 15, 0, 0, 0, 0, 0, 1, 5, 21
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\index.js", "JavaScript", 103, 0, 0, 0, 0, 0, 1, 14, 118
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\Cart.js", "JavaScript", 44, 0, 0, 0, 0, 0, 1, 6, 51
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\Customer.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\Order.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\Product.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\User.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\completedOrder.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\populationScripts.js", "JavaScript", 18, 0, 0, 0, 0, 0, 50, 11, 79
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\recommendation.js", "JavaScript", 320, 0, 0, 0, 0, 0, 40, 62, 422
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\cartRoutes.js", "JavaScript", 95, 0, 0, 0, 0, 0, 6, 26, 127
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\completedOrderRoutes.js", "JavaScript", 72, 0, 0, 0, 0, 0, 3, 15, 90
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\customerRoutes.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\orderRoutes.js", "JavaScript", 56, 0, 0, 0, 0, 0, 2, 11, 69
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\productRoutes.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 9, 84
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\uploadRoutes.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 9, 34
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\userRoutes.js", "JavaScript", 149, 0, 0, 0, 0, 0, 6, 25, 180
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\socketMain.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", -32, -12, -3145, -19752, -16, -38, 38, -191, -23148
